trial=8, exhaustive: fp=6.000_14.000_7.000_FFFFFFFFFFFFFFFF, mean(g)=0.2483, std(g)=0.0598, min(g)=0.1482, max(g)=0.3378, mean(xi)=0.1323, D(mean/p10/p50/p90)=(0.8677/0.8329/0.8615/0.9060), avgQ=2.589978, dv=0.0000, sv=1.0000
trial=8, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2475, std(g)=0.0608, min(g)=0.1425, max(g)=0.3469, mean(xi)=0.1319, D(mean/p10/p50/p90)=(0.8681/0.8365/0.8642/0.9083), avgQ=2.589979, dv=0.0000, sv=1.0000
trial=9, random: fp=6.000_14.000_10.000_FFFFFFFFFFFFFFFF, mean(g)=0.2469, std(g)=0.0580, min(g)=0.1805, max(g)=0.4121, mean(xi)=0.1316, D(mean/p10/p50/p90)=(0.8684/0.8252/0.8751/0.8937), avgQ=2.589978, dv=0.0000, sv=1.0000
trial=9, norm: fp=6.000_14.000_9.000_FFFFFFFFFFFFFFFF, mean(g)=0.2500, std(g)=0.0557, min(g)=0.1854, max(g)=0.3944, mean(xi)=0.1332, D(mean/p10/p50/p90)=(0.8668/0.8184/0.8724/0.8947), avgQ=2.589976, dv=0.0000, sv=1.0000
trial=9, qoe: fp=6.000_14.000_12.000_FFFFFFFFFFFFFFFF, mean(g)=0.2562, std(g)=0.0471, min(g)=0.2073, max(g)=0.4027, mean(xi)=0.1364, D(mean/p10/p50/p90)=(0.8636/0.8414/0.8682/0.8842), avgQ=2.589973, dv=0.0000, sv=1.0000
trial=9, exhaustive: fp=6.000_14.000_9.000_FFFFFFFFFFFFFFFF, mean(g)=0.2500, std(g)=0.0557, min(g)=0.1854, max(g)=0.3944, mean(xi)=0.1332, D(mean/p10/p50/p90)=(0.8668/0.8184/0.8724/0.8947), avgQ=2.589976, dv=0.0000, sv=1.0000
trial=9, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2464, std(g)=0.0508, min(g)=0.1874, max(g)=0.4044, mean(xi)=0.1315, D(mean/p10/p50/p90)=(0.8685/0.8455/0.8732/0.8923), avgQ=2.589978, dv=0.0000, sv=1.0000
trial=10, random: fp=6.000_14.000_7.000_FFFFFFFFFFFFFFFF, mean(g)=0.2618, std(g)=0.0589, min(g)=0.1929, max(g)=0.4304, mean(xi)=0.1390, D(mean/p10/p50/p90)=(0.8610/0.8244/0.8669/0.8899), avgQ=2.589969, dv=0.0000, sv=1.0000
trial=10, norm: fp=6.000_14.000_10.000_FFFFFFFFFFFFFFFF, mean(g)=0.2638, std(g)=0.0590, min(g)=0.1889, max(g)=0.4311, mean(xi)=0.1400, D(mean/p10/p50/p90)=(0.8600/0.8213/0.8642/0.8887), avgQ=2.589968, dv=0.0000, sv=1.0000
trial=10, qoe: fp=6.000_14.000_8.000_FFFFFFFFFFFFFFFF, mean(g)=0.2588, std(g)=0.0398, min(g)=0.2008, max(g)=0.3562, mean(xi)=0.1377, D(mean/p10/p50/p90)=(0.8623/0.8450/0.8597/0.8896), avgQ=2.589972, dv=0.0000, sv=1.0000
trial=10, exhaustive: fp=6.000_14.000_10.000_FFFFFFFFFFFFFFFF, mean(g)=0.2638, std(g)=0.0590, min(g)=0.1889, max(g)=0.4311, mean(xi)=0.1400, D(mean/p10/p50/p90)=(0.8600/0.8213/0.8642/0.8887), avgQ=2.589968, dv=0.0000, sv=1.0000
trial=10, ga_placeholder: fp=0.000_0.000_0.000_FFFFFFFFFFFFFFFF, mean(g)=0.2475, std(g)=0.0367, min(g)=0.1970, max(g)=0.3458, mean(xi)=0.1322, D(mean/p10/p50/p90)=(0.8678/0.8475/0.8678/0.8877), avgQ=2.589978, dv=0.0000, sv=1.0000
