p,alg,metric,mean,ci95
-16.42857143,norm,urgent_semantic_vio,0.46625,0.0321516255
-16.42857143,ga_ub,urgent_semantic_vio,0.27125,0.02752146513
-13.57142857,proposed,urgent_semantic_vio,0.19375,0.02515304286
-13.57142857,random,urgent_semantic_vio,0.305,0.03129252162
-13.57142857,norm,urgent_semantic_vio,0.395,0.03152301225
-13.57142857,ga_ub,urgent_semantic_vio,0.23,0.02489327572
-10.71428571,proposed,urgent_semantic_vio,0.16625,0.02311325377
-10.71428571,random,urgent_semantic_vio,0.28625,0.03075534823
-10.71428571,norm,urgent_semantic_vio,0.35625,0.03076319323
-10.71428571,ga_ub,urgent_semantic_vio,0.205,0.0227137264
-7.857142857,proposed,urgent_semantic_vio,0.1525,0.02272169286
-7.857142857,random,urgent_semantic_vio,0.265,0.03020962275
-7.857142857,norm,urgent_semantic_vio,0.34125,0.02909835837
-7.857142857,ga_ub,urgent_semantic_vio,0.185,0.02175875495
-5,proposed,urgent_semantic_vio,0.1325,0.02081503974
-5,random,urgent_semantic_vio,0.24625,0.0295713495
-5,norm,urgent_semantic_vio,0.31375,0.02926786681
-5,ga_ub,urgent_semantic_vio,0.17875,0.0217968438
-25,proposed,urgent_semantic_distortion,0.5648076184,0.01814095538
-25,random,urgent_semantic_distortion,0.602228871,0.01935799331
-25,norm,urgent_semantic_distortion,0.7021006242,0.01773784698
-25,ga_ub,urgent_semantic_distortion,0.6178023839,0.01999926936
-22.14285714,proposed,urgent_semantic_distortion,0.5287568334,0.01763879445
-22.14285714,random,urgent_semantic_distortion,0.5815114468,0.01904341992
-22.14285714,norm,urgent_semantic_distortion,0.6762422905,0.01750868711
-22.14285714,ga_ub,urgent_semantic_distortion,0.5589267491,0.01768258998
-19.28571429,proposed,urgent_semantic_distortion,0.5035445161,0.01670629155
-19.28571429,random,urgent_semantic_distortion,0.5618766815,0.01851285359
-19.28571429,norm,urgent_semantic_distortion,0.6428071227,0.01713784692
-19.28571429,ga_ub,urgent_semantic_distortion,0.5256787665,0.01705607957
-16.42857143,proposed,urgent_semantic_distortion,0.4830966714,0.01642862202
-16.42857143,random,urgent_semantic_distortion,0.5443008563,0.01851802776
-16.42857143,norm,urgent_semantic_distortion,0.6199715402,0.01660782842
-16.42857143,ga_ub,urgent_semantic_distortion,0.5056659977,0.01645386161
-13.57142857,proposed,urgent_semantic_distortion,0.4694641563,0.01593610891
-13.57142857,random,urgent_semantic_distortion,0.5321542699,0.01821720874
-13.57142857,norm,urgent_semantic_distortion,0.5917853242,0.01691071507
-13.57142857,ga_ub,urgent_semantic_distortion,0.4908928698,0.0159199485
-10.71428571,proposed,urgent_semantic_distortion,0.4581824527,0.01566040685
-10.71428571,random,urgent_semantic_distortion,0.5213983906,0.01787665546
-10.71428571,norm,urgent_semantic_distortion,0.573641681,0.01661675916
-10.71428571,ga_ub,urgent_semantic_distortion,0.4734934654,0.01541342342
-7.857142857,proposed,urgent_semantic_distortion,0.4509972581,0.01578183894
-7.857142857,random,urgent_semantic_distortion,0.512482825,0.01759030243
-7.857142857,norm,urgent_semantic_distortion,0.5620964239,0.01656633135
-7.857142857,ga_ub,urgent_semantic_distortion,0.464273661,0.01518990739
-5,proposed,urgent_semantic_distortion,0.4426807927,0.01543953804
-5,random,urgent_semantic_distortion,0.5020408248,0.01770736529
-5,norm,urgent_semantic_distortion,0.5494885116,0.01613169868
-5,ga_ub,urgent_semantic_distortion,0.458195008,0.01506139986
-25,proposed,urgent_T_tx_mean,0.002874054228,0.0002104709379
-25,random,urgent_T_tx_mean,0.3290667893,0.2283441202
-25,norm,urgent_T_tx_mean,2.569253675,4.190394934
-25,ga_ub,urgent_T_tx_mean,0.1189962663,0.03195404213
-22.14285714,proposed,urgent_T_tx_mean,0.002213422939,0.0001141920568
-22.14285714,random,urgent_T_tx_mean,0.1251198147,0.07185081661
-22.14285714,norm,urgent_T_tx_mean,0.2215394388,0.09508199162
-22.14285714,ga_ub,urgent_T_tx_mean,0.03995933867,0.008793238248
-19.28571429,proposed,urgent_T_tx_mean,0.001968278738,9.362156105e-05
-19.28571429,random,urgent_T_tx_mean,0.03986771082,0.01089624389
-19.28571429,norm,urgent_T_tx_mean,0.08683761123,0.02159468191
-19.28571429,ga_ub,urgent_T_tx_mean,0.01922579998,0.00383372299
-16.42857143,proposed,urgent_T_tx_mean,0.001799221783,8.959675486e-05
-16.42857143,random,urgent_T_tx_mean,0.0223910852,0.005469431467
-16.42857143,norm,urgent_T_tx_mean,0.04089343843,0.008923267832
-16.42857143,ga_ub,urgent_T_tx_mean,0.01223773027,0.001760150068
-13.57142857,proposed,urgent_T_tx_mean,0.001691031762,9.333644474e-05
-13.57142857,random,urgent_T_tx_mean,0.01371114048,0.002393614082
-13.57142857,norm,urgent_T_tx_mean,0.02011067095,0.003393601394
-13.57142857,ga_ub,urgent_T_tx_mean,0.009198553879,0.0009763204685
-10.71428571,proposed,urgent_T_tx_mean,0.0015983799,9.531681769e-05
-10.71428571,random,urgent_T_tx_mean,0.01002812724,0.001315681196
-10.71428571,norm,urgent_T_tx_mean,0.01284078814,0.001501174791
-10.71428571,ga_ub,urgent_T_tx_mean,0.00750177929,0.000728692404
-7.857142857,proposed,urgent_T_tx_mean,0.001529619867,9.622004944e-05
-7.857142857,random,urgent_T_tx_mean,0.007889969439,0.0006355793548
-7.857142857,norm,urgent_T_tx_mean,0.00986124886,0.00102905895
-7.857142857,ga_ub,urgent_T_tx_mean,0.006382240255,0.0005376843848
-5,proposed,urgent_T_tx_mean,0.001498563044,9.651283274e-05
-5,random,urgent_T_tx_mean,0.006769501648,0.0005243102057
-5,norm,urgent_T_tx_mean,0.008166949049,0.0007734315161
-5,ga_ub,urgent_T_tx_mean,0.005836793474,0.0004569513061
-25,proposed,xi_mean,0.5009976455,0.009111382461
-25,random,xi_mean,0.4762864214,0.008070297349
-25,norm,xi_mean,0.4629954039,0.007782468241
-25,ga_ub,xi_mean,0.5348040022,0.007154720256
-22.14285714,proposed,xi_mean,0.5289313091,0.008877085827
-22.14285714,random,xi_mean,0.4918258118,0.008143302924
-22.14285714,norm,xi_mean,0.4796653172,0.007630897299
-22.14285714,ga_ub,xi_mean,0.5674918392,0.007652659179
-19.28571429,proposed,xi_mean,0.5457253762,0.008226385919
-19.28571429,random,xi_mean,0.5048469838,0.008027962909
-19.28571429,norm,xi_mean,0.4942506628,0.007595255722
-19.28571429,ga_ub,xi_mean,0.5865898673,0.007701143304
-16.42857143,proposed,xi_mean,0.5589874035,0.008055746725
-16.42857143,random,xi_mean,0.516618574,0.00785813574
-16.42857143,norm,xi_mean,0.5056061281,0.007368987524
-16.42857143,ga_ub,xi_mean,0.5967258294,0.008018280698
-13.57142857,proposed,xi_mean,0.5658150571,0.008007035353
-13.57142857,random,xi_mean,0.5241455809,0.007897951096
-13.57142857,norm,xi_mean,0.5184618252,0.007880694977
-13.57142857,ga_ub,xi_mean,0.6026445758,0.0080788058
-10.71428571,proposed,xi_mean,0.5736406628,0.007548855193
-10.71428571,random,xi_mean,0.5301244895,0.007846417244
-10.71428571,norm,xi_mean,0.5269151338,0.00772809388
-10.71428571,ga_ub,xi_mean,0.6123917136,0.00821074668
-7.857142857,proposed,xi_mean,0.5801722076,0.00767152697
-7.857142857,random,xi_mean,0.5366492228,0.007835874443
-7.857142857,norm,xi_mean,0.5329761812,0.007822444565
-7.857142857,ga_ub,xi_mean,0.6197398594,0.008272905204
-5,proposed,xi_mean,0.586513465,0.007644172488
-5,random,xi_mean,0.5432162721,0.007975446224
-5,norm,xi_mean,0.539621027,0.008171071047
-5,ga_ub,xi_mean,0.6234656581,0.008337993608
-25,proposed,Qd_mean,1.202171234,0.1416612497
