p,alg,metric,mean,ci95
-5,random,urgent_sum_rate,231081.3261,339601.0793
-5,norm,urgent_sum_rate,922.6544524,1473.527732
-5,ga_rt,urgent_sum_rate,718756.5205,1231937.597
-25,proposed,urgent_avg_rate,917558.9371,1340401.777
-25,random,urgent_avg_rate,608895.1442,772059.4219
-25,norm,urgent_avg_rate,2.394575825,3.895568975
-25,ga_rt,urgent_avg_rate,72727.89086,6964.270416
-22.14285714,proposed,urgent_avg_rate,861673.7109,1307270.529
-22.14285714,random,urgent_avg_rate,1187611.871,1723497.456
-22.14285714,norm,urgent_avg_rate,4.554690436,7.356559415
-22.14285714,ga_rt,urgent_avg_rate,1095112.158,480730.0835
-19.28571429,proposed,urgent_avg_rate,831642.8469,1285653.737
-19.28571429,random,urgent_avg_rate,77734.83265,114609.6286
-19.28571429,norm,urgent_avg_rate,8.725013638,14.03269197
-19.28571429,ga_rt,urgent_avg_rate,1226385.02,377868.8213
-16.42857143,proposed,urgent_avg_rate,815624.4916,1272996.909
-16.42857143,random,urgent_avg_rate,39059.26306,5656.762117
-16.42857143,norm,urgent_avg_rate,16.77428057,26.91383592
-16.42857143,ga_rt,urgent_avg_rate,461566.4351,587130.3313
-13.57142857,proposed,urgent_avg_rate,463954.1536,593279.1033
-13.57142857,random,urgent_avg_rate,169201.9045,331634.7455
-13.57142857,norm,urgent_avg_rate,32.30449799,51.75902599
-13.57142857,ga_rt,urgent_avg_rate,863781.4328,994683.4315
-10.71428571,proposed,urgent_avg_rate,382238.6557,713457.7859
-10.71428571,random,urgent_avg_rate,334054.4129,654505.7647
-10.71428571,norm,urgent_avg_rate,62.24837113,99.6400145
-10.71428571,ga_rt,urgent_avg_rate,125879.5566,44231.76949
-7.857142857,proposed,urgent_avg_rate,370124.9855,689719.941
-7.857142857,random,urgent_avg_rate,463144.3462,848997.2995
-7.857142857,norm,urgent_avg_rate,119.9093005,191.7575144
-7.857142857,ga_rt,urgent_avg_rate,393592.8575,575542.5731
-5,proposed,urgent_avg_rate,731019.8605,1396564.279
-5,random,urgent_avg_rate,57770.33152,84900.26983
-5,norm,urgent_avg_rate,230.6636131,368.381933
-5,ga_rt,urgent_avg_rate,179689.1301,307984.3993
-25,proposed,urgent_delay_vio,0.25,0
-25,random,urgent_delay_vio,0.375,0.245
-25,norm,urgent_delay_vio,1,0
-25,ga_rt,urgent_delay_vio,0.5,0
-22.14285714,proposed,urgent_delay_vio,0.25,0
-22.14285714,random,urgent_delay_vio,0.375,0.245
-22.14285714,norm,urgent_delay_vio,1,0
-22.14285714,ga_rt,urgent_delay_vio,0.375,0.245
-19.28571429,proposed,urgent_delay_vio,0.25,0
-19.28571429,random,urgent_delay_vio,0.625,0.245
-19.28571429,norm,urgent_delay_vio,1,0
-19.28571429,ga_rt,urgent_delay_vio,0.125,0.245
-16.42857143,proposed,urgent_delay_vio,0.25,0
-16.42857143,random,urgent_delay_vio,0.625,0.245
-16.42857143,norm,urgent_delay_vio,1,0
-16.42857143,ga_rt,urgent_delay_vio,0.25,0
-13.57142857,proposed,urgent_delay_vio,0.25,0
-13.57142857,random,urgent_delay_vio,0.875,0.245
-13.57142857,norm,urgent_delay_vio,1,0
-13.57142857,ga_rt,urgent_delay_vio,0.25,0
-10.71428571,proposed,urgent_delay_vio,0.125,0.245
-10.71428571,random,urgent_delay_vio,0.875,0.245
-10.71428571,norm,urgent_delay_vio,1,0
-10.71428571,ga_rt,urgent_delay_vio,0.25,0
-7.857142857,proposed,urgent_delay_vio,0.125,0.245
-7.857142857,random,urgent_delay_vio,0.5,0
-7.857142857,norm,urgent_delay_vio,1,0
-7.857142857,ga_rt,urgent_delay_vio,0.375,0.245
-5,proposed,urgent_delay_vio,0.125,0.245
-5,random,urgent_delay_vio,0.5,0.49
-5,norm,urgent_delay_vio,1,0
-5,ga_rt,urgent_delay_vio,0.5,0
-25,proposed,urgent_semantic_vio,0.875,0.245
-25,random,urgent_semantic_vio,0.875,0.245
-25,norm,urgent_semantic_vio,1,0
-25,ga_rt,urgent_semantic_vio,1,0
-22.14285714,proposed,urgent_semantic_vio,0.875,0.245
-22.14285714,random,urgent_semantic_vio,0.875,0.245
-22.14285714,norm,urgent_semantic_vio,1,0
-22.14285714,ga_rt,urgent_semantic_vio,0.625,0.245
-19.28571429,proposed,urgent_semantic_vio,0.875,0.245
-19.28571429,random,urgent_semantic_vio,1,0
-19.28571429,norm,urgent_semantic_vio,1,0
-19.28571429,ga_rt,urgent_semantic_vio,0.75,0
-16.42857143,proposed,urgent_semantic_vio,0.875,0.245
-16.42857143,random,urgent_semantic_vio,1,0
-16.42857143,norm,urgent_semantic_vio,1,0
-16.42857143,ga_rt,urgent_semantic_vio,0.875,0.245
-13.57142857,proposed,urgent_semantic_vio,0.875,0.245
-13.57142857,random,urgent_semantic_vio,1,0
-13.57142857,norm,urgent_semantic_vio,1,0
-13.57142857,ga_rt,urgent_semantic_vio,0.875,0.245
-10.71428571,proposed,urgent_semantic_vio,0.875,0.245
-10.71428571,random,urgent_semantic_vio,0.875,0.245
-10.71428571,norm,urgent_semantic_vio,1,0
-10.71428571,ga_rt,urgent_semantic_vio,1,0
-7.857142857,proposed,urgent_semantic_vio,0.875,0.245
-7.857142857,random,urgent_semantic_vio,0.875,0.245
-7.857142857,norm,urgent_semantic_vio,1,0
-7.857142857,ga_rt,urgent_semantic_vio,0.875,0.245
-5,proposed,urgent_semantic_vio,0.875,0.245
-5,random,urgent_semantic_vio,1,0
-5,norm,urgent_semantic_vio,1,0
-5,ga_rt,urgent_semantic_vio,1,0
-25,proposed,Qd_mean,0.2567711222,0.00678358741
-25,random,Qd_mean,0.3109415216,0.1017797847
-25,norm,Qd_mean,0.5562067055,0.0004846523681
-25,ga_rt,Qd_mean,0.3627539475,0.004890774736
-22.14285714,proposed,Qd_mean,0.2568304864,0.006728835044
-22.14285714,random,Qd_mean,0.3099353848,0.09747881277
-22.14285714,norm,Qd_mean,0.5561869189,0.0004906807341
-22.14285714,ga_rt,Qd_mean,0.3147359158,0.09689902135
-19.28571429,proposed,Qd_mean,0.2568907134,0.006702796817
-19.28571429,random,Qd_mean,0.4094501321,0.09854575922
-19.28571429,norm,Qd_mean,0.5561802266,0.0004981895276
-19.28571429,ga_rt,Qd_mean,0.213779341,0.1051982099
-16.42857143,proposed,Qd_mean,0.2569325611,0.006689490285
-16.42857143,random,Qd_mean,0.4117983929,0.09715900585
-16.42857143,norm,Qd_mean,0.5561778934,0.0005036385184
-16.42857143,ga_rt,Qd_mean,0.261345077,0.002598000967
-13.57142857,proposed,Qd_mean,0.2570362017,0.006836726433
-13.57142857,random,Qd_mean,0.5073104228,0.1006946854
-13.57142857,norm,Qd_mean,0.5561770171,0.0005069932957
-13.57142857,ga_rt,Qd_mean,0.2662767902,0.003280340841
-10.71428571,proposed,Qd_mean,0.1893869192,0.117716215
-10.71428571,random,Qd_mean,0.5097127675,0.09721760422
-10.71428571,norm,Qd_mean,0.5561766294,0.000508942643
-10.71428571,ga_rt,Qd_mean,0.2628193935,0.00595074697
-7.857142857,proposed,Qd_mean,0.180424569,0.1001591104
-7.857142857,random,Qd_mean,0.3616797741,0.001044305071
-7.857142857,norm,Qd_mean,0.5561763871,0.0005101142017
-7.857142857,ga_rt,Qd_mean,0.2868549296,0.1570769716
