name,class,which_path
save,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\general\save)
saveas,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\general\saveas.m
seed_assignment,not_found,
semantic_vio_vec,not_found,
setdiff,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\ops\setdiff.m
sgtitle,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph2d\sgtitle.m
sin,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\sin)
size,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\size)
snr_db,not_found,
snr_range,not_found,
snr_vals,not_found,
sort,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datafun\sort)
sortIdx,not_found,
sorted_fit,not_found,
sqrt,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elfun\sqrt)
std,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\datafun\std.m
strcmp,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\strcmp)
strcmpi,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\strcmpi)
string,file_or_class,string is a built-in method
strings,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\strings)
strtrim,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\strfun\strtrim)
struct,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datatypes\struct\struct)
subplot,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph2d\subplot.m
sum,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\datafun\sum)
sum_rate_all,not_found,
sum_rate_history,not_found,
theta,not_found,
theta_all,not_found,
theta_new,not_found,
theta_prev,not_found,
theta_ref,not_found,
theta_try,not_found,
title,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\axis\title.m
u_c,not_found,
u_p,not_found,
ue,file_or_class,
ue_pos,not_found,
unique,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\ops\unique.m
urgent_avg_rate_all,not_found,
urgent_delay_vio_all,not_found,
urgent_idx,not_found,
urgent_mask,not_found,
urgent_qoe_all,not_found,
urgent_sector,not_found,
urgent_semantic_vio_all,not_found,
urgent_sum_rate_all,not_found,
user_type,not_found,
users,not_found,
users_l,not_found,
ut,not_found,
valid_ris,not_found,
w_c,not_found,
w_p,not_found,
warm_assign,not_found,
weights,not_found,D:\apply\MATLAB R2025\toolbox\bioinfo\bioinfo\@phytree\weights.m
x,not_found,
xi,not_found,
xi_grid,not_found,
xlabel,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\axis\xlabel.m
xq,not_found,
xtickangle,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph3d\xtickangle.m
xticklabels,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph3d\xticklabels.m
xticks,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph3d\xticks.m
y_mean,not_found,
ylabel,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\axis\ylabel.m
ylim,file_or_class,D:\apply\MATLAB R2025\toolbox\matlab\graphics\graphics\graph3d\ylim.m
zeros,builtin,built-in (D:\apply\MATLAB R2025\toolbox\matlab\elmat\zeros)
